jooq.advertisement.transcription,jooq.advertisement.id
"IN BATON ROUGE JAIL- A negro man named Washington, aged about 25 years, slender built, yellow complexion, 5 feet 3 3-4 inches high; says he ranaway from mr Hill, a negro trader who was at Natchez at the time he absconded. The owner is requested to comply with the law and take him away. [at 5]  J SIMPSON, Jailor. ",0029c2b6-dc50-4f22-b5e1-4b453ee90249
"Brought to Jail,
ON the 5th of December, 1840, in Emanuel county, one negro man, about 40 or 45 years of age, about 5 feet 6 inches high, dark complexion, with a blemish in his right eye, no other mark on him to be seen; he says that his name is ELLEC, and that he belongs to Richard Coal of Lawnden county, the owner is hereby requested to come and prove property, pay charges, and take him away, or he will be dealt with as the law directs.
HENRY DURDEN, Sheriff
December 5, 1840",002a5600-721c-4ae0-a670-f328afcde20e
"RUN-away from the Subscriber, livings in King's County, Long-Island, a short Time ago, two Negro Men, one named Nathaniel, a very handy Fellow, about 5 Feet 6 Inches high, straight and well built, 24 Years old, of a yellow Complexion, with long Hair tied up with a Ribbon; born at Newton, Queen's County, and lived at Flatbush. Had on when he went away, a brown Linen Jacket, with an under one double breasted, one Side red Cloth the other Homespun; also homespun Trowsers, and a half worn Hat. The other Fellow that he went away with belonged to Jeromus Remsen, at Newton, and are very like each other, being Brothers; he was well cloathed, and went by the Name of Jacob, and is a Cooper by Trade. Whoever secures the above Runaways in any Goal so that their Masters mat have them again, shall have Eight Pounds Reward, and all reasonable Charges paid by HENRY WYCKHOFF.",0030f9f3-2216-4cbf-ac9f-0c27c2fea1c1
"FIFTY DOLLARS REWARD--Ran away, in November last, from the premises of the undersigned, corner of Fourth and Magazine streets, Fourth District, New Orleans, the Boy called PETER, about twenty two years of age, black complexion and five feet three inches high; has large mouth and teeth, flat nose and very short hair, and speaks only English. The above reward will be paid for his apprehension, to whomsoever will lodge him in jail, or deliver him to the undersigned.
Ja18--1m NELS ANDERSON.
",00343876-7f91-4c1b-bf7f-7551f8029200
"BROUGHT TO JAIL in Jacksonville, Telfair county, Ga. on the 16th instant, a negro man who says his name is PETER JOHNSON; that he belongs to the State of Georgia, and that he run away about two weeks since from his overseer in Upson county.  He is a man about thirty years of age, dark complexion, about five feet eight inches high.
JAMES A. ROGERS, Jailor.
August 23 
",003640cf-9a13-4fcf-8bfd-9a0d0b9a7d4d
"NOTICE.
MY BOY PETER left my residence, in Davidson county, Tenn., on Sunday 21st instant. His age is about 24 years, of a dark color, about 5 feet 9 inches high, some of his teeth are out, before, below and above. His coat is a blue broad cloth, with a variety of pantaloons and other clothing; in his general appearance he is likely, with thick lips and a scar over one eye--he had a fur cap with the front piece of leather. I will give Seventy Dollars to any person who will deliver him to me at my residence, or in Nashville, and Fifty Dollars if taken and secured at any other point until I can get him.
WM. II. BELL.
Nashville, June 25th, 1840.-si&wtf.",00446135-8f5d-4a60-acde-a90905f78b63
"RAN AWAY from the subscriber in the beginning of March, a Negro named Jacob, a gardener, he speaks English only, aged about 45-50 years, five feet high, beard half white, several front teeth wanting; when he went away he had on a jacket of redish crimson. A reward will be given to any person who will bring him back to the subscriber or lodge him in jail.  April 11                E V JOURDAIN. 
",004bd895-d024-4292-9952-fbbb6e95676e
"TEN DOLLARS REWARD.
Whereas my negro fellow GEORGE, has runaway, any person who will apprehend and deliver him at the Work House of Charleston, shall have the above reward.  He is a mulatto, about 18 years of age, formerly the property of Mrs. Rupell, and well known as a waiter at my Hotel for the last 10 months.
This is also to caution all persons harboring or employing him, as I will put the Laws in force on detection.
MATHEW MUGGRIDGE
Globe Hotel, King St.
Aug 19",004cde6f-f152-4826-b39b-cdd37ca7007a
"$100 REWARD. 
RUNAWAY from the subscriber living in Wilkinson county, a Negro man by the name of OWEN, a Blacksmith by trade, about six feet high, of yellow complexion, and about 25 or 26 years of age, included to be stoop shouldered and has a down cast appearance when spoken to. Said negro belongs to Mr. David Blount of Mississippi, but has been in my charge as the agent of Mr. Blount for the two past years. He is an artful fellow, and probably has got in with some white man to carry him off. If so, the subscriber will give a reward of One Hundred Dollars to any person who may apprehend them on the conviction of the white person, or Fifty Dollars for the Negro if delivered to me in Irwinton, Wilkinson county, or any [illegible] Jail in the State.
JONATHAN PEARSON, Agent, 
October 22, 1839-3m-18 For David Blount.
",004f3c13-bf57-4e7c-8de5-e757b470ff00
"Brought to'Jail.
In the County of Houston on the 11th of May a negro man of black complexion,about 25 or 30 years of age, 5 feet 8 or 9 inches high and weighing about 140 libs. He says he belongs to Philip Britt of Macon county. Alabama, who bought him from a speculator named Sanders.
The owner will please come forward prove property, pay charges and take him away, or he will be dealt with as the law directs, 
W. H. TALTON, D. Sh'ff & Jalior 
June 10th 1852. 2ly. ",00531575-4cd4-4366-8474-48c5f2f2ed3b
"$10 REWARD - Ran away, on the 28th December last, from my place on Red River, opposite the mouth of Black River, the griff man DICK GRIFFIN, about 30 years old, thick lips, open good countenance, always laughs or smiles when spoken to, about 5 feet 9 inches high, rather clumsily built; was dressed in a short coatee and coarse white striped pants; he was bought of Mr. Mark Davis about a month ago, and is just imported from Virginia. The above reward will be paid as soon as he is secured so I get him again.
J.B. MAILLET, or at
No. 18 St. Ann street, New Orleans.
Routh's Point, 30 Dec., 1844.
J5--1md&W*",005515d0-ef1f-4de2-92a8-2bcf32cc80d5
"RANAWAY from the brig Lightfoot, a negro man named James Martin, cook of said vessel, about six feet high, has a down look, and saucy when spoken to. Landlords are cautioned against harboring, and shipmasters against shipping him under the severest penalties of the law. july 1",005d2a0d-d59d-431e-b434-af1b17c18dfc
"COMMITTED
To the Jail of this county, on the 11th inst. by Justice Everitt, a negro man who calls himself SQUIRE, and mays be belongs to Mr. Bellinger of Perry county in this state. He is about 5 foot 6 or 7 inches high, thick set, thick lips, very black, supposed to be 35 or 40 years old. The owner is requested to come forward, prove property and pay charges, or he will be sold according to the statute in such cases made and provided.
J. BATES, Jr.
Sheriff M.C.
Oct. 12-13",005e69de-4550-40e1-bb68-7ae294498173
"$250 REWARD.- Ranaway, or was taken away, on the 8th June last, a BLACK MAN, called EMANUEL, a blacksmith by trade, about 5 feet 7 or 8 inches high, rather slender made, and speaks very fluently, and polished in manners. He is supposed to have been taken away by a white man, for the purpose of going to a free State, as the boy had about $400 in money. The above reward will be paid for the boy and white man confined in any jail in this State, or $50 for the boy, and $200 for the white man who took him away. 

John S. Gliddon 

Mobile, July 8, 1846 

jy10-Gt",005f5e47-1c43-4bc5-997a-5a59af864e2a
"$25 REWARD.
LEFT the subscribers plantation on Sunday morning, 11th inst., a bright mulatto woman, by the name of CHARLOTTE, between 35 and 40 years of age, 5 feet 7 or 8 inches high, her upper front teeth gone. It is my opinion that she will endeavor to stay about Milledgeville or Eatonton. The above reward will be given for her delivery or lodgment in a safe Jail so that I may get her.
ALFRED M. GEORGE.
Blountsville, Jones Co., Ga., Sept. 15, 1842. -14",00603432-b6ec-4c64-b2df-931ea1e8e52f
"25 Dollars Reward. 
Broke custody from on board the Steam Boat Herald, lying at the Wharf in Mobile, on the 31st January last, a Negro Fellow named SANNO, about 28 years old, yellow complexion, small stature, of a surly disposition. He is American born, but brought up in a French family. He speaks broken English and understand something of the French language. I will give the above reward for his apprehension and safe confinement in any Jail so that I get him again, with all reasonable expenses. 
Henry Allen. 
Coosada, Feb 14 29ts ",00673cf2-1d9d-4b2a-89b1-6b620ec761cb
"20 DOLLARS REWARD
Will be paid for the apprehension of my black Boy RICHARD, 22 years of age, five feet eight or nine inches high, pleasant countenance, polite manners, understands how to read and write, and it is possible may forge a pass for himself. He was formerly owned by Capt. Thomas Mims, of St. James, Goose Creek, about 35 miles from Charleston, and lately seen there. It is probable that he is now in this city, as he has a family living here. The above reward will be paid for his safe delivery in the Work House. Apply to Mrs. Storno, Meeting st. next to the corner of [illegible] st. 
Jan 15
fmw3",0069c602-020f-47ff-8838-4cb15a442af9
"Ten Dollars Reward.
RAN AWAY from Mr. John Mackay's Plantation, two Negro Slaves DAVE and his wife AGGE, and may possibly make for Mobile, as the fellow was employed as a hand on the steamboat Herald the last winter, under Capt. Fry and Capt Young. He is a likely fellow, about 6 feet high, of dark complexion, quick spoken, and inclined to have a bushy head. The woman is very likely and cross-eyed; no other marks recollected.  If the said slaves should be apprehended in or about Mobile, to be delivered to T. & G. HOLT, and if apprehended in any other county, lodge them safe in [illegible] jail, and the above reward will be paid.
MARTIN GREER
Claiborne, Aug 30, [illegible]",006a7523-0c7f-401d-9d73-35ba5ce15a05
"$100 REWARD.--RUNAWAY from the subscriber, near Forsyth, Monroe county, Ga., a Negro man named NED. about 29 years old, of dark complexion, about 5 feet 8 inches high, weighs about 140 or 150 pounds. he left my house the 18th of February last. the last time heard from him he was in Lythonia DeKalb county. He has probably been decoyed off by some white person. I will give one hundred dollars Reward for the delivery of the negro in some safe Jail where I can get him, and the apprehension of the person harboring him, with proof to convict him: or I will give fifty dollars for the delivery of the boy to me in Forsyth, or in any safe Jail in the State, so I can get him.
JOHN D. McCOWAN.
Forsyth, April 26, 1854. 48 tf",006cafb1-187b-4828-a6e2-908af4420348
"BROUGHT to the Jail of DeKalb county, on the 28th ult. an African negro man, who says his name is TOM, about forty years of age, five feet nine or ten inches high, dark complected, with one of his front teeth out; he says he belongs to Thomas Morgan, living on Terrapin Creek, in the State of Alabama, and that he was hired the present year to Mr. Cooper at the Carroll Gold Mines, and that he was aiming to go to Evans Howell's of Gwinnett county, who owns his wife. The owner is requested to come, pay charges and take him away. 
ISAAC N. JOHNSON. 
Jan 4, 18333t23
Jailer. ",006e8efb-3cbd-4184-a51c-aebfe803d677
"TWENTY DOLLARS REWARD - Ran away from the subscriber on the evening of the 11th instant, the negro boy PROSPER, aged about 40 years, 5 feet 7 inches high, very black and stout built, large lips and walks stoutly. Any person delivering said boy to me or securing him in any jail that I may gather again shall receive the above reward. JAMES BELL, Stevedore
jul 2 - [Illegible]                                [Illegible] street, Third Municipality.

",006f3489-a698-4a2e-9715-0072f2d7ccb3
"$50 REWARD.
RANAWAY from this place in the month of July last, a negro man named ANTHONY, aged 33 years, 5 feet 9 or 10 inches high, rather yellow complected, stout and well set; had on [illegible] Clothes and a white Fur Hat, with black tape around it when he left his owner, Mr. John S. Gooch, of Mississippi. He once belonged to A. A. Kincannon Esq., of Fayetteville, of this State, and had at that time, a wife at a Mr. Crawford's near that place; [illegible] was bought and carried to Mississippi by S. Rose borough and R. R. Flack, who sold him to his present owner. I am authorized to pay the above reward to any one that will deliver the above described negro to me or enable me to get him.
W. M. COOK.
Nashville, Nov. 12, 1836.--tf",006f45b0-5bf2-41a0-945d-fa4e5b61ce6b
"DETENU dans la Geole de Bâton-Rouge.- Un negre qui se donne le nom d'André. Lorsqu'il fut emprisonné il déclara qu'il appartenait a Charles Norris, de l'Etat du Kentucky, et qu'il était parvenu jusqu'içi au moyen d'une fausse passe. Il se dit maintentant appartenir a Mr. Tupps du Natchez, sa taille est de 5 pieds 6 pouces, il est marqué du fouet, barbu et a plusieurs cicatrices au poignet gauche. Le propriêtaire est prié de se conformer a la loi et de le retirer. 
14 février    J. SIMPSON, geôlier. 

Google Translate:
DETAINED in the Staff of Baton Rouge.- A negro who calls himself André. When he was imprisoned, he declared that he belonged to Charles Norris of the State of Kentucky, and that he had reached that point by means of a false pass. He is now said to belong to Mr. Tupps of Natchez, his height is 5 feet 6 inches, he is marked with whip, bearded and has several scars on his left wrist. The owner is asked to comply with the law and remove it.
February 14 J. SIMPSON, jailer.",00784df0-dac4-4417-8309-4ddf634575d9
"$10 REWARD. - Ran away from the Louisiana state boat ''Experiment'' the boy WM. BRADLEY, aged 28 or 30 years, light black, stout built, joint of forefinger of the left hand off: The above named reward, of ten dollars, will be paid by the State Engineer to the person who will lodge said negro in any jail in this State. ",0085715c-5795-4534-83b8-c1f6475aa663
"TWENTY DOLLARS REWARD-Ran away from the subscriber, living near Rocky Springs, Mississippi, on or near about the 10th June last, the negro boy CHARLES,(Frequently calls himself HOWARD,) about 24 or 25 years of age, of black complexion, eyes full and inclined to be red; 5 feet 10 inches in height, not heavily built, b well made and stands erect; has a down look, speaks slow and whines a little when he speaks; has lost all his upper front teeth, and from large brand scar on his hips has evidently been severely whipped. The said boy was purchased last spring in this city of B. Rendig and it is believed has made his way back. The above reward will be paid by Messrs 
 Bogart, Foley & Avery, for apprehending and confining him in any jail so that I get him again.
014--12t                                                     JOSEPH F. BROCK",0088b317-08bc-464b-b1f0-fda91e9e2458
"RUNAWAY
Left my plantation on the 28th April, in Houston County, a negro man by the name of WILL, about 5 feet 7 inches high, 25 years old, very dark complexion, and a little inclined to be bow legged, and walks as though he had been crippled. He was raised in Glynn county by a gentleman named Grant, and sold to a Mr. Bowen of Chatham, near Savannah, and was brought from there in February last, and I think he will endeavor to make his way back to one of those places. I will give a reward of Ten Dollars for his confinement in any Jail in the State and information so that I can get him.
Perry, May 1--2m--16
Z. LAMAR",008b1b93-2d12-43f2-a2dd-3db37951b150
"TEN DOLLARS REWARD--Ran away from the subscriber, about three months ago, the black boy, ETIENNE. He is supposed to have been enticed away. He is of slim make, about 5 feet 2 inches high; has long features, thick lips, and one upper tooth out next to his eye tooth, his hair cut short; he speaks both French and English. The above reward will be paid to any person that will lodge him in any city jail. [20-[illegible] [illegible]] JOHN CARROLL",00919188-1d8a-45bd-b35d-2832b0421725
"NEGRO LOST - FIFTY DOLLARS REWARD
Ranaway on the 9th inst.. a negro boy named GEORGE. Said boy is about four feet nine inches high, light complexion very large mouth, slight frame one ear growing down, very large and wild looking eyes, twelve years old.
my9-3t HARRIS & MORGAN, foo; of [illegible]",0092bd96-ff12-4076-a102-c6d2c6b336d0
"$5 Reward.
Ranaway from the subscriber on or about the 7th of November, my negro Boy DAN. He is about 5 feet 10 inches in height, 26 years of age, very black; abrupt in his speech; has a scar on his face, and a pug nose; has been a drayman for some years. The above reward will be paid for his apprehension, or Ten Dollars for proof that will lead to the conviction of the person harboring him. 
J. FOX,
nov21 3t corner St. Charles and Girod sts.",0099bfdd-a705-4de7-9774-f8e114709830
"Brought to Jail,
On Tuesday the 23d of this instant, at Irwinton, Wilkinson county, a Negro Man, who says his name is SAM,-- and says he belongs to Alexander Smith, of Houston county, Georgia. Sam is very dark complexioned -- five feet three or four inches high, -- I suppose about 20 years old. The owner or owners are requested to come forward, prove property, pay charges, and take him away. -- November 25, 1841.
SOLOMON B. MURPHEY, Jailor.
24--tf",009a2927-b567-4169-8cfa-241450edbd6f
"$100 REWARD - RUNAWAY from the subscriber, near Forsyth, Monroe county, Ga., a Negro man named NED about 22 years old, of dark complexion, about 5 feet 8 inches high, weighs about 140 or 150 pounds, he left my house the 18th of February last, the last time heard from him he was in Lythonia DeKalb county. He has probably been decoyed off by some white person.  I will give one hundred dollars Reward for the delivery of the negro in some safe Jail where I can get him, and the apprehension of the person harboring him, with proof to convict him: or I will give fifty dollars for the deliv-ry of the boy to me in Forsyth, or in any safe Jail in the State, so I can get him.
JOHN D. McCOWEN.
Forsyth, April 26, 1854",00a22a78-c0fe-44a3-a21a-cdc90e93d246
"Run or strayed away the 11th instant from the King's Wharf, near the North River, a mulatto boy named Sam, about 11 years old, strait hair, had on only a shirt and a pair of trousers. Whoever will deliver said boy to the subscriber living near Beckman Slip shall have two guineas reward payed by Jesse Smith.",00a50277-4979-4158-9ba0-9debffb45637
"Runaway or Stolen,
FROM the subscriber, on the sixth of September last, a negro woman by the name of SARAH. Said woman is small and only tolerable black; has unusual good teeth,and is tolerable quick spoken. The subscriber is disposed to believe that said negress was decoyed off from his plantation in Twiggs county, Ga, by a certain foot peddler, who called himself Frazier. Said Frazier is a tall spare built man, with two of his fingers off of the right hand; he was seen in private conversation with said negro woman a few days before she left, and was in the settlement the day of her leaving , and has (as the subscriber is informed) changed his name in different sections.  Any information of said woman, or said Frazier, will be thankfully recaived, and the apprehension and detention of either the said woman, or said Frazier, so that the subscriber can get hold of them, will be honorably and liberally rewarded.                           JESSE HEARN.
    Marion, Twiggs co. Dec. 2, 1840.                                        25-3t",00acf315-9a2a-48e5-b5d2-b76d48fdf178
"$50 REWARD will be paid for the apprehension and placing in the calaboose of a yellow man named JOE McMULLEN. He was formerly drummer for the Volunteers. He speaks, reads and writes the English language; he is about 5 feet 6 or 7 inches high, has lost two of his front teeth, weighs about 150 pounds, walks erect, has black curly hair, and is addicted to cards and drinking.",00aefb91-1bf1-41df-ba14-2b68e6745345
"ONE HUNDRED DOLLARS REWARD.- Ran away from my plantation, in Lafourche Interior, in February last, a mulatto boy named VALENTINE, 30 years old, 5 feet 10 inches high, rather slender, has a fine suit of hair and good teeth, good address, a little timid when spoken to; has been on stcambonis, as cabin boy; he will try to pass himself as free. He was purchased from Thos. T. Bolling, of Blobile, in November last. I will give the above reward for his apprehension and lodgment in any jail so that I get him.
JOS. S. WILLIAMS.
New Orleans, August 31, 1854. s4-3in tf
Mobile Advertiser copy and send bill to this office. ",00b5ac2a-8fd9-4303-a465-1fd7f429207a
"TWENTY DOLLARS REWARD
Ranaway from the Subscriber, at Barnwell Court Hourt, on the 12th September, TENAH, a female servant, about 22 years of age, of the middle size, and rather light complected, tho' denginated a black. - Tenah was bought in this city in June last, at a sale of the estate of Vaunce's Negroes, and was taken into the country as a nurse for the summer season.  As she has many connextions in this place, and a husband, (a free man, by the name of William Lewis,) living on Goose Creek, it is likely she is harboured in or about the two places; tho' some suspicion is entertained that she may have made her way toward Columbia in this State, where it is understood a former husband was taken, and now resides. The above reward will be paid on her apprehension and delivery to the Master of the Work House, with proof that she is harboured either by a free person or a slave; and Ten Dollars for her delivery at any jail in the State so that I can get her.
WM. B. SMITH, 42 East-Bay.
November 7",00bb533c-ecb9-4530-a42e-da9021d905b0
"COMMITTED
To the Jail of Mobile County on the 21st of July, 1832, by B. Wilkins, Esq a Justice of the Peace in and for said county, two negroes -- the Man about 23 or 24 years of age, 5 feet 5 inches high, dark complexion, with a thick bushy head of hair, & calls himself STEPHEN EDWARDS, and professes to be free. The woman is about 20 years of age, 4 feet 9 1/2 inches high, dark complexion, with a thick bushy head, and says she is the wife of said Stephen, and professes also to be free; and they say they are late from New Orleans. -- The owner is hereby requested to come forward, prove property and pay charges, or they will be sold for the same, according to the statue in such cases made and provided.
July 23 -- 23tf
J. BATES, Jr. Shff.",00be1fed-994f-4df7-b25c-b730eb968366
"$100 Reward.
RANAWAY from the subscriber near Cornersville, Giles county, Tenn., on the 2[illegible] inst, a very bright mulatto boy (nearly white) with light colored straight hair, by the name of NICHOLAS--five feet eight or ten inches high, and about 17 or 18 years of age. No doubt he will endeavor to pass for a free man, and call himself Ruvs. When he left he had two suits of clothing, and rode off a very tall brown mule that has been badly foundered.
The above reward will be given to any one apprehending said boy out of the State, a $25 if apprehended in the State and delivered to the owner, or so confined that the undersigned can get him. He will probably be found about a tavern or barber's shop.
SIMEON MARSH.
Near Cornersville, Oct. 22, 1841.--tf.",00c2e697-6d2b-47b1-8cda-3692770aa0ed
"TWENTY FIVE DOLLARS REWARD  Ran away about 21st July, a slave named CATHERINE. Said girl is about five feet high, dark complexion and about 21 years of age. She has three upper and front teeth plugged with [illegible]. is well shaped and quick spoken. She has been seen about the Poydras Market. The above reward will be paid for her delivery at No. 117 Customhouse street. 
[illegible]",00c8adfe-3640-4d63-91ec-f20fea256cae
"50 DOLLARS REWARD.
Absconded from the subscriber about the last of Dec. his Mulatto Fellow, named MERRIMAN. He has been driving a waggon for several years between this place and Charleston ; he is a smart and intelligent Fellow, about 25 or 26 years of age ; had on when he went away, a suit of woollen clothes ; it is expected that he is in Charleston, having a wife there. The above reward will be paid, and all reasonable expences, for delivering him to the master of the work house in Charleston, or to the subscriber at Statesburg.
HENRY VAUGHAN.
N. B. --All masters of vessels and others, are cautioned from taking him out of the State, under the penalty
of the law in such cases.
Statesburg, Feb. 6. sw8 [F. 23]

",00cc8c0b-0982-4d67-98f7-a6712c4a570f
"50 DOLLARS REWARD
Will be given to any person bringing back to the subscriber in N. Orleans, 2 negroes, Robertson and Washington, who absented themselves on Saturday evening. The first is 24 years old, round face and very black, and has a small piece of his ear cut off. Washington is 27 years of age, and stutters, his body is rather bent forward -- both are of a middle size and only speak English.
P. W. DEBUYS.
The above reward will be paid on application to M'Loskey, Hagan & Co.
Feb. 27 -- 103tf",00cd60bf-c2a9-40f2-9690-cff10375b6d8
"TWENTY DOLLARS REWARD--Ran away from the plantation of the undersigned the negro named SHELDRICK, a preacher, 5 feet 9 inches high, about 40 years old, but not looking over 28, stamped M B on the breast, and having both small toes cut off. he is of a very dark complexion, with eyes small but bright, and a look quite insolent. he dresses good, and was arrested as a runaway at Donaldsonville some three years ago. The above reward will be paid for his arrest by addressing Messrs. Armant Brothers, St. James parish,
or A. MILTENBERGER & CO.,
30 Carondelet st.o13--tf",00cf7615-c499-4291-b606-06e22f0a6cf6
"TWENTY DOLLARS REWARD Ran away
from the subscriber on the 12th of June. the 
grille girl MADELINE. She is a Creole of this
city, about 6 feet 2 inches high, and about 17 years
old; speaks French and a little English; has
a broken tooth in front ; was purchased by me of Mr. Me-
nard. The above reward will be paid upon her being
lodged in the Parish Prison of this city.
JEAN SALVANT
1854- [illegible] Parish of Plaquemines",00d22faf-dca3-4f75-a5cc-ca0571a8f1c3
"BROUGHT TO JAIL,
In the town of Monticello, Jasper country, Georgia, on the 8th instant a negro girl by the name of LYDIA, who says she belongs to James Lamar of Macon; she is dark complected and has a large scar on her left foot, which she says was occasioned by a cut with an axe, she is five feet four or five inches high. The owner is requested to come forward, prove property, pay charges and take her away. june 17, 1837. ROBERT S. NORLIN, Jailer.",00d62b96-19b8-497b-bf06-91afe756a1b4
"TWENTY DOLLARS REWARD,
Will be given by the subscriber for the apprehension of two Negro Fellows, who absconded on the 1st inst. from Rantole's Tavern. JIM, a fellow well known in Beaufert and its vicinity as a noted thief and runaway, and fermerly belonged to a Mr. David Tnrner of that place, and frequently went by the name of Sally Turner, having once been apprehended in woman's apparel, and assumed that name ; and in 1828 he was taken in Savannah, Georgia. APRIL, a young active fellow, who is well known, and was in general employed as hostler and house servant at the subscriber's tavern. The above reward will be given for their delivery to the subscriber, or on their being lodged in any jail in the state, or Ten Dollars for either of them. W.WILKIE, Rautole's. N.B.-The above Negroes will probably make for Beaufort S.C., or Savannah, Georgin. Dec5 ",00dbe501-23df-4cdf-a92e-72b3f2f4a1b8
